strategy,min_spread,hold_position,total_pnl,num_trades,avg_pnl,win_rate
Daily - All Signals (No Hold),0,False,132.3809477795974,222,0.5963105755837721,53.153153153153156
Daily - All Signals (Hold Position),0,True,174.6780760782232,109,1.6025511566809463,49.54128440366973
Threshold 20+ (Close on Low Confidence),20,False,71.69065458152758,110,0.6517332234684323,63.63636363636363
Threshold 20+ (Hold on Low Confidence),20,True,5.7286715239218235,20,0.2864335761960921,55.00000000000001
Threshold 50+ (Close on Low Confidence),50,False,12.711908453803195,48,0.26483142612089994,60.416666666666664
Threshold 50+ (Hold on Low Confidence),50,True,8.857073266655474,4,2.2142683166638686,25.0
