price,100D_MA,RSI,MACD,US_10y_yield,US_2y_yield,market_sentiment
105.98359680175781,100.69809944152831,60.58641639626917,1.051713054546056,2.25,0.94,15.619999885559082
105.8907470703125,100.75948356628417,60.02018995074836,1.042214445946243,2.243000030517578,0.93,15.930000305175781
105.98359680175781,100.81929542541504,60.418564066653076,1.0303022446121446,2.2320001125335693,0.93,15.1899995803833
106.13211822509766,100.89800521850586,61.086513618290006,1.0210758500485895,2.2249999046325684,0.92,15.119999885559082
105.86288452148438,100.97457832336426,59.13825924319127,0.9807336688339348,2.2179999351501465,0.94,16.1299991607666
106.92134094238281,101.04673118591309,63.9994010155446,1.022385364776369,2.1549999713897705,0.91,14.670000076293945
106.26213836669922,101.09478698730469,59.270193558178626,0.9907813841664534,2.177999973297119,0.94,15.90999984741211
104.4609146118164,101.11816162109375,48.68415349846003,0.811042109690348,2.3299999237060547,0.96,18.110000610351562
106.90274810791016,101.16484329223633,59.29748049592074,0.8557682321146558,2.2750000953674316,0.96,14.8100004196167
106.41999816894531,101.19224868774414,56.79648797205856,0.8425477547562963,2.2249999046325684,0.94,15.84000015258789
106.42927551269531,101.20446434020997,56.834167233448404,0.8233282200908434,2.23799991607666,0.94,17.600000381469727
104.8137435913086,101.19691268920899,48.84533976443813,0.6700131810247569,2.2079999446868896,0.93,19.610000610351562
105.28726196289062,101.19474464416504,51.01859508697148,0.5800326281387953,2.239000082015991,0.95,19.34000015258789
102.86398315429688,101.18029182434083,41.33936916341179,0.30961499509942314,2.1389999389648438,0.88,24.389999389648438
103.64387512207031,101.1775277709961,44.95860833886195,0.1564345564425338,2.2249999046325684,0.97,22.729999542236328
104.27522277832031,101.19126525878906,47.76808428612705,0.08500257786300836,2.2679998874664307,0.98,20.950000762939453
105.82574462890625,101.22902931213379,53.98064242033406,0.1517570148874512,2.2869999408721924,1.02,17.860000610351562
104.28453063964844,101.24258224487305,47.88395088297329,0.07938222976765985,2.23799991607666,1.0,18.940000534057617
102.28410339355469,101.23224090576171,41.35519086452434,-0.1378045443566549,2.1989998817443848,0.97,20.700000762939453
103.42028045654297,101.22835235595703,45.86949435184216,-0.21575949291248264,2.197000026702881,0.96,18.700000762939453
104.10011291503906,101.23246620178223,48.427603383936116,-0.22014486055724092,2.239000082015991,0.99,16.600000381469727
104.87310028076172,101.24755172729492,51.24870240121161,-0.15940910676762599,2.2639999389648438,1.01,15.569999694824219
104.8544692993164,101.2643962097168,51.17603900281014,-0.11149371862303781,2.243000030517578,1.03,15.739999771118164
104.79856872558594,101.27271621704102,50.94265043242017,-0.07714189369482938,2.2249999046325684,1.05,16.90999984741211
106.44699096679688,101.31419197082519,57.14868203385822,0.08214910967822675,2.306999921798706,1.09,16.079999923706055
105.48773956298828,101.34737174987794,52.95079230709348,0.12949210165041336,2.302999973297119,1.08,17.290000915527344
104.17462158203125,101.3557504272461,47.77710017411728,0.06035834358475256,2.2690000534057617,1.06,18.209999084472656
101.97677612304688,101.35539527893066,40.62267530370995,-0.1698208293325223,2.244999885559082,1.02,20.700000762939453
101.79981994628906,101.34975105285645,40.10199141648966,-0.3623415193158195,2.247999906539917,1.04,19.34000015258789
100.82196044921875,101.33599555969238,37.259871581509806,-0.5870534554585873,2.177000045776367,0.99,20.59000015258789
97.66487121582031,101.28909446716308,29.89357249937865,-1.0082673219901608,2.1530001163482666,0.96,24.989999771118164
96.86396789550781,101.22566314697265,28.36171487959828,-1.39067768374791,2.130000114440918,0.94,27.010000228881836
97.16195678710938,101.17049110412597,29.80304518540204,-1.6506675691711337,2.1579999923706055,0.94,24.299999237060547
98.28881072998047,101.1333487701416,35.11907725515624,-1.7456608392973578,2.1019999980926514,0.93,22.469999313354492
94.89893341064453,101.09055694580078,28.20036735199544,-2.070609759151864,2.065999984741211,0.91,25.219999313354492
96.91983032226562,101.11132080078124,36.26203814310422,-2.1403915266675,2.0980000495910645,0.9,23.950000762939453
93.91175842285156,101.13849632263184,30.730982602541445,-2.410632076934533,2.0329999923706055,0.85,27.020000457763672
94.11664581298828,101.17114791870117,31.49741607550007,-2.5785431199312967,2.0350000858306885,0.88,26.049999237060547
93.82794189453125,101.15515754699707,30.977298995588825,-2.7037427611312523,1.9839999675750732,0.85,27.59000015258789
93.92105865478516,101.11592430114746,31.370934385251985,-2.763593647166445,2.0190000534057617,0.84,26.690000534057617
96.64044189453125,101.10407035827637,41.80829137774952,-2.5620605655656306,2.0480000972747803,0.88,22.34000015258789
95.20624542236328,101.09000785827637,38.484095177032565,-2.489375840546316,2.0220000743865967,0.88,24.149999618530273
96.06304168701172,101.11470741271972,41.4777311082583,-2.3357117432453123,1.99399995803833,0.85,22.5
93.66962432861328,101.08907600402831,36.180896147460075,-2.379629727018539,2.000999927520752,0.84,23.110000610351562
94.9920425415039,101.08139251708984,40.68782178022716,-2.2814280651057715,1.9850000143051147,0.83,22.420000076293945
96.97570037841797,101.10493797302246,46.76132859658468,-2.020249749664117,1.930999994277954,0.76,20.200000762939453
97.2364730834961,101.10441619873046,47.52209649602174,-1.7717976941447375,1.965999960899353,0.81,19.979999542236328
95.13175964355469,101.09377670288086,42.27172034258781,-1.7248474670050058,1.8639999628067017,0.75,21.979999542236328
94.67543029785156,101.0681078338623,41.20867071458056,-1.7048090605897244,1.88100004196167,0.72,21.649999618530273
94.66613006591797,101.03697387695313,41.18593792970952,-1.6704233297851232,1.8639999628067017,0.7,21.84000015258789
91.37864685058594,100.97592903137208,34.03797624910939,-1.886696152403033,1.8480000495910645,0.74,23.3799991607666
